Index,TeamA,TeamB,TeamAruns,TeamBruns,TossWinner_Name,TossDecision,PlayConditions,MatchWinner_ID
64,Bangalore,Hyderabad,160,184,11,0,-1,Hyderabad
65,Chennai,Delhi,180,189,6,0,1,Delhi
66,Kolkata,Rajasthan,150,150,1,0,-1,Draw
67,Bangalore,Punjab,168,173,2,0,-1,Punjab
68,Hyderabad,Mumbai,168,156,11,0,-1,Hyderabad
69,Bangalore,Delhi,149,150,2,0,1,Delhi
70,Punjab,Rajasthan,139,112,4,0,-1,Punjab
71,Chennai,Hyderabad,165,169,11,1,1,Hyderabad
72,Kolkata,Mumbai,95,187,7,0,-1,Mumbai
73,Delhi,Rajasthan,143,147,6,0,-1,Rajasthan
74,Bangalore,Kolkata,143,139,1,0,1,Bangalore
75,Punjab,Mumbai,119,116,4,0,-1,Punjab
76,Hyderabad,Delhi,148,150,6,1,1,Delhi
77,Chennai,Rajasthan,164,126,5,1,-1,Chennai
78,Kolkata,Mumbai,139,148,7,0,1,Mumbai
79,Bangalore,Punjab,145,137,2,0,-1,Bangalore
80,Hyderabad,Rajasthan,141,142,11,0,1,Rajasthan
81,Chennai,Delhi,163,145,6,1,-1,Chennai
82,Punjab,Kolkata,154,153,1,0,1,Punjab
83,Bangalore,Mumbai,150,149,7,0,-1,Bangalore
84,Chennai,Hyderabad,178,100,3,0,-1,Chennai
85,Punjab,Rajasthan,133,211,4,1,1,Rajasthan
86,Delhi,Kolkata,157,154,1,0,-1,Delhi
87,Hyderabad,Mumbai,145,126,11,0,-1,Hyderabad
88,Bangalore,Rajasthan,105,107,5,1,1,Rajasthan
89,Chennai,Punjab,185,174,3,0,-1,Chennai
90,Delhi,Mumbai,118,116,7,0,-1,Delhi
91,Hyderabad,Punjab,168,169,4,1,1,Punjab
92,Chennai,Rajasthan,141,140,5,0,-1,Chennai
93,Bangalore,Mumbai,141,157,7,0,1,Mumbai
94,Delhi,Kolkata,125,123,6,1,-1,Delhi
95,Hyderabad,Rajasthan,166,113,11,0,-1,Hyderabad
96,Bangalore,Kolkata,176,173,2,1,1,Bangalore
97,Punjab,Mumbai,119,122,4,0,-1,Mumbai
98,Hyderabad,Delhi,161,173,11,1,-1,Delhi
99,Bangalore,Chennai,129,132,3,0,1,Bangalore
100,Mumbai,Rajasthan,143,145,5,0,-1,Rajasthan
101,Delhi,Punjab,120,123,4,1,-1,Punjab
102,Chennai,Mumbai,151,147,7,0,1,Chennai
103,Hyderabad,Kolkata,166,160,11,1,-1,Hyderabad
104,Hyderabad,Punjab,133,134,11,1,1,Punjab
105,Delhi,Rajasthan,150,136,6,0,-1,Delhi
106,Chennai,Kolkata,188,189,3,0,-1,Kolkata
107,Bangalore,Delhi,135,134,6,0,-1,Bangalore
108,Kolkata,Rajasthan,102,101,1,1,1,Kolkata
109,Chennai,Punjab,116,92,3,0,-1,Chennai
110,Delhi,Mumbai,166,165,6,1,1,Delhi
111,Bangalore,Hyderabad,170,158,2,0,-1,Bangalore
112,Delhi,Hyderabad,153,154,11,1,-1,Hyderabad
113,Bangalore,Chennai,149,146,2,1,-1,Bangalore
114,Bangalore,Hyderabad,137,143,2,1,-1,Hyderabad
115,Hyderabad,Kolkata,150,161,11,1,-1,Kolkata
116,Mumbai,Rajasthan,212,208,7,0,1,Mumbai
117,Punjab,Delhi,142,146,6,1,-1,Delhi
118,Kolkata,Bangalore,136,135,1,1,1,Kolkata
119,Chennai,Hyderabad,159,190,11,0,-1,Hyderabad
120,Rajasthan,Delhi,141,142,6,1,-1,Delhi
121,Bangalore,Punjab,204,203,4,0,1,Bangalore
122,Kolkata,Chennai,109,164,3,0,-1,Chennai
123,Delhi,Mumbai,120,218,6,1,-1,Mumbai
124,Bangalore,Rajasthan,93,92,2,1,-1,Bangalore
125,Delhi,Chennai,185,190,6,0,1,Chennai
126,Hyderabad,Punjab,170,164,4,1,-1,Hyderabad
127,Rajasthan,Kolkata,168,134,5,0,1,Rajasthan
128,Mumbai,Bangalore,151,155,7,0,-1,Bangalore
129,Hyderabad,Delhi,171,161,11,0,1,Hyderabad
130,Chennai,Punjab,136,136,0,0,-1,Draw
131,Mumbai,Kolkata,156,155,1,0,-1,Mumbai
132,Bangalore,Chennai,171,135,3,1,-1,Bangalore
133,Punjab,Rajasthan,152,183,4,1,-1,Rajasthan
134,Mumbai,Chennai,181,180,7,1,1,Mumbai
135,Rajasthan,Hyderabad,151,148,11,0,-1,Rajasthan
136,Punjab,Kolkata,144,183,1,0,-1,Kolkata
137,Bangalore,Delhi,166,183,2,1,-1,Delhi
138,Rajasthan,Chennai,177,160,5,0,1,Rajasthan
139,Hyderabad,Mumbai,131,172,11,1,-1,Mumbai
140,Delhi,Kolkata,177,137,6,0,-1,Delhi
141,Mumbai,Punjab,164,163,7,1,-1,Mumbai
142,Chennai,Bangalore,162,161,2,0,1,Chennai
143,Delhi,Rajasthan,188,121,6,0,-1,Delhi
144,Kolkata,Hyderabad,181,157,1,0,-1,Kolkata
145,Punjab,Bangalore,181,184,4,0,-1,Bangalore
146,Chennai,Rajasthan,246,223,3,0,1,Chennai
147,Mumbai,Hyderabad,178,115,7,0,-1,Mumbai
148,Kolkata,Punjab,200,204,1,0,1,Punjab
149,Delhi,Bangalore,184,147,6,0,-1,Delhi
150,Hyderabad,Rajasthan,157,159,5,0,-1,Rajasthan
151,Chennai,Mumbai,165,141,3,0,-1,Chennai
152,Rajasthan,Punjab,157,153,4,0,1,Rajasthan
153,Kolkata,Delhi,181,167,1,0,-1,Kolkata
154,Bangalore,Hyderabad,184,186,11,1,-1,Hyderabad
155,Punjab,Mumbai,158,154,7,0,-1,Punjab
156,Hyderabad,Chennai,139,138,3,0,1,Hyderabad
157,Bangalore,Kolkata,162,160,2,1,-1,Bangalore
158,Delhi,Punjab,111,112,6,0,1,Punjab
159,Rajasthan,Mumbai,145,143,5,1,-1,Mumbai
160,Hyderabad,Bangalore,151,138,2,1,-1,Hyderabad
161,Mumbai,Delhi,183,144,7,0,1,Mumbai
162,Chennai,Kolkata,143,139,1,0,-1,Chennai
163,Rajasthan,Bangalore,130,132,5,0,-1,Bangalore
164,Chennai,Delhi,112,139,3,0,-1,Delhi
165,Punjab,Hyderabad,174,178,11,1,-1,Hyderabad
166,Bangalore,Mumbai,134,191,2,1,1,Mumbai
167,Kolkata,Rajasthan,133,132,5,0,-1,Kolkata
168,Punjab,Chennai,192,195,3,1,1,Chennai
169,Delhi,Hyderabad,134,145,11,0,-1,Hyderabad
170,Kolkata,Mumbai,135,133,7,0,-1,Kolkata
171,Bangalore,Mumbai,149,184,7,0,-1,Mumbai
172,Chennai,Hyderabad,142,104,3,0,-1,Chennai
173,Bangalore,Hyderabad,86,82,11,0,-1,Bangalore
174,Chennai,Mumbai,168,146,3,0,-1,Chennai
175,Chennai,Kolkata,153,151,3,0,-1,Chennai
176,Hyderabad,Rajasthan,137,141,5,1,1,Rajasthan
177,Kochi,Bangalore,161,162,9,0,-1,Bangalore
178,Delhi,Mumbai,95,99,6,0,1,Mumbai
179,Pune,Punjab,113,112,4,0,-1,Pune
180,Kolkata,Hyderabad,163,154,1,0,-1,Kolkata
181,Rajasthan,Delhi,152,151,6,0,1,Rajasthan
182,Bangalore,Mumbai,140,143,7,1,-1,Mumbai
183,Punjab,Chennai,193,188,4,1,1,Punjab
184,Pune,Kochi,151,148,9,0,-1,Pune
185,Hyderabad,Bangalore,175,142,2,1,-1,Hyderabad
186,Rajasthan,Kolkata,159,160,1,1,1,Kolkata
187,Mumbai,Kochi,182,184,9,1,-1,Kochi
188,Chennai,Bangalore,183,162,3,0,1,Chennai
189,Hyderabad,Punjab,165,166,4,1,-1,Punjab
190,Pune,Delhi,187,190,6,1,1,Delhi
191,Kolkata,Rajasthan,85,81,1,1,-1,Kolkata
192,Kochi,Chennai,135,131,9,1,-1,Kochi
193,Delhi,Hyderabad,152,168,11,0,-1,Hyderabad
194,Mumbai,Pune,0,0,10,0,1,Mumbai
195,Kolkata,Kochi,126,132,1,1,-1,Kochi
196,Punjab,Rajasthan,195,147,5,1,-1,Punjab
197,Mumbai,Chennai,164,156,3,1,1,Mumbai
198,Kolkata,Bangalore,171,175,2,1,-1,Bangalore
199,Delhi,Punjab,231,202,4,1,-1,Delhi
200,Hyderabad,Mumbai,135,172,11,1,1,Mumbai
201,Rajasthan,Kochi,111,109,5,1,-1,Rajasthan
202,Chennai,Pune,142,117,10,1,-1,Chennai
203,Delhi,Bangalore,160,161,2,1,-1,Bangalore
204,Pune,Chennai,141,145,10,0,1,Chennai
205,Kochi,Hyderabad,74,129,9,1,-1,Hyderabad
206,Delhi,Kolkata,131,148,6,1,-1,Kolkata
207,Rajasthan,Mumbai,95,94,5,1,1,Rajasthan
208,Bangalore,Pune,181,155,10,1,-1,Bangalore
209,Kochi,Delhi,119,157,6,0,1,Delhi
210,Kolkata,Punjab,120,119,1,1,-1,Kolkata
211,Rajasthan,Pune,144,143,5,1,1,Rajasthan
212,Chennai,Hyderabad,165,146,3,0,-1,Chennai
213,Mumbai,Punjab,159,136,4,1,1,Mumbai
214,Delhi,Kochi,140,141,9,1,-1,Kochi
215,Hyderabad,Kolkata,149,169,11,1,-1,Kolkata
216,Chennai,Rajasthan,149,147,5,0,1,Chennai
217,Pune,Mumbai,139,160,10,1,-1,Mumbai
218,Kochi,Kolkata,156,139,1,1,1,Kochi
219,Hyderabad,Delhi,175,179,6,1,-1,Delhi
220,Bangalore,Punjab,205,120,4,1,-1,Bangalore
221,Kolkata,Chennai,61,114,3,0,1,Kolkata
222,Mumbai,Delhi,178,146,6,1,-1,Mumbai
223,Bangalore,Kochi,128,125,9,0,1,Bangalore
224,Punjab,Pune,119,120,4,0,-1,Pune
225,Rajasthan,Chennai,133,196,5,1,-1,Chennai
226,Hyderabad,Pune,136,137,11,0,1,Pune
227,Punjab,Mumbai,163,87,7,1,-1,Punjab
228,Rajasthan,Bangalore,146,151,2,1,-1,Bangalore
229,Chennai,Delhi,176,158,3,0,-1,Chennai
230,Kochi,Punjab,178,181,4,1,-1,Punjab
231,Bangalore,Kolkata,105,89,2,1,1,Bangalore
232,Mumbai,Hyderabad,125,135,11,0,-1,Hyderabad
233,Punjab,Delhi,170,141,6,1,1,Punjab
234,Kochi,Rajasthan,98,97,9,1,-1,Kochi
235,Pune,Hyderabad,136,138,11,1,-1,Hyderabad
236,Punjab,Bangalore,232,121,4,0,-1,Punjab
237,Chennai,Kochi,152,141,3,0,-1,Chennai
238,Pune,Kolkata,118,119,1,1,-1,Kolkata
239,Mumbai,Rajasthan,133,134,7,0,-1,Rajasthan
240,Punjab,Hyderabad,116,198,4,1,1,Hyderabad
241,Delhi,Pune,0,0,0,0,-1,Draw
242,Bangalore,Chennai,129,128,2,1,1,Bangalore
243,Kolkata,Mumbai,175,178,7,1,-1,Mumbai
244,Bangalore,Chennai,175,177,3,1,-1,Chennai
245,Mumbai,Kolkata,147,148,7,1,-1,Mumbai
246,Bangalore,Mumbai,185,142,7,1,-1,Bangalore
247,Chennai,Bangalore,205,147,3,0,-1,Chennai
248,Chennai,Mumbai,112,115,7,1,1,Mumbai
249,Kolkata,Delhi,97,100,6,1,-1,Delhi
250,Mumbai,Pune,101,129,7,1,1,Pune
251,Rajasthan,Punjab,191,160,4,1,-1,Rajasthan
252,Bangalore,Delhi,157,137,6,1,1,Bangalore
253,Hyderabad,Chennai,119,193,11,1,-1,Chennai
254,Rajasthan,Kolkata,164,142,1,1,1,Rajasthan
255,Pune,Punjab,166,144,10,0,-1,Pune
256,Hyderabad,Mumbai,138,142,11,0,-1,Mumbai
257,Bangalore,Kolkata,123,165,2,1,1,Kolkata
258,Delhi,Chennai,111,110,6,1,-1,Delhi
259,Mumbai,Rajasthan,197,170,5,1,-1,Mumbai
260,Chennai,Bangalore,208,205,2,0,1,Chennai
261,Punjab,Pune,116,115,4,1,-1,Punjab
262,Kolkata,Rajasthan,137,131,5,0,-1,Kolkata
263,Delhi,Hyderabad,162,157,11,0,-1,Delhi
264,Pune,Chennai,156,155,3,0,-1,Pune
265,Kolkata,Punjab,132,134,1,1,1,Punjab
266,Bangalore,Rajasthan,136,195,5,0,-1,Rajasthan
267,Mumbai,Delhi,92,93,6,1,-1,Delhi
268,Rajasthan,Hyderabad,197,196,11,0,1,Rajasthan
269,Bangalore,Pune,186,182,10,0,-1,Bangalore
270,Punjab,Kolkata,124,127,4,0,-1,Kolkata
271,Hyderabad,Delhi,157,162,11,0,-1,Delhi
272,Chennai,Pune,164,151,10,1,-1,Chennai
273,Punjab,Bangalore,163,166,2,1,-1,Bangalore
274,Chennai,Rajasthan,147,146,5,0,1,Chennai
275,Delhi,Pune,172,192,6,1,-1,Pune
276,Mumbai,Punjab,163,164,7,0,1,Punjab
277,Hyderabad,Kolkata,126,127,1,1,-1,Kolkata
278,Rajasthan,Bangalore,143,189,5,1,-1,Bangalore
279,Pune,Delhi,146,148,10,0,-1,Delhi
280,Punjab,Mumbai,168,171,4,0,-1,Mumbai
281,Pune,Hyderabad,159,177,11,0,-1,Hyderabad
282,Delhi,Mumbai,207,170,7,1,-1,Delhi
283,Chennai,Punjab,149,156,4,0,1,Punjab
284,Kolkata,Bangalore,190,143,1,0,-1,Kolkata
285,Delhi,Rajasthan,152,151,6,0,1,Delhi
286,Mumbai,Hyderabad,101,100,7,1,-1,Mumbai
287,Chennai,Kolkata,139,140,3,0,-1,Kolkata
288,Hyderabad,Pune,186,173,11,0,1,Hyderabad
